index,Title,Language,Release,Audience Rating,Runtime,Genre,Votes,Director,Actors
1,Vaarthakal Ithuvare,Malayalam,-2019,U,121 min,Comedy            ,467,Manoj Nair,"['Siju Wilson', 'Nandu', 'Vinay Forrt', 'Mammukoya']"
2,Ulta,Malayalam,-2019,U,123 min,Comedy            ,567,Suresh Poduval,"['Gokul Suresh', 'Prayaga Martin', 'Anusree', 'Ramesh Pisharody']"
3,Upama,Malayalam,-2019,U,82 min,Drama            ,5,S.S. Jishnu Dev,"['Sasikanthan', 'Manasa Prabhu', 'Anas Rahim J', 'Harikrishnan .R.G.']"
4,Munthiri Monchan,Malayalam,-2019,U,130 min,"Comedy, Romance            ",892,Vijith Nambiar,"['Manesh Krishnan', 'Gopika Anil', 'Salim Kumar', 'Devan']"
5,Punarjani,Malayalam,-2002,,160 min,Drama            ,5,Rajesh Amanakara,"['Major Ravi', 'Pranav Mohanlal', 'Urmila Unni', 'Jagannathan']"
6,Patham Classile Pranayam,Malayalam,-2019,U,121 min,"Drama, Romance            ",526,Nitheesh K. Nair,"['Charmila', 'Jayan Cherthala', 'Arya Devi', 'Manoj Guiness']"
7,Silencer,Malayalam,-2020,U,106 min,Drama            ,425,Priyanandanan,"['Irshad', 'Lal', 'Binoy Nambala', 'Ramu']"
8,Maarjaara Oru Kalluvacha Nuna,Malayalam,-2020,UA,142 min,Drama            ,340,Raakesh Baala,"['Abhirami', 'Jason Chacko', 'Sudheer Karamana', 'Hareesh Peradi']"
9,Roopantharam,Malayalam,-2015,U,96 min,"Drama, Family            ",5,M.B. Padmakumar,"['Kochu Preman', 'Bharath Chand', 'Sona Nair']"
10,Jimmy Ee Veedinte Aiswaryam,Malayalam,-2019,,,Comedy            ,355,Raju Chandra,"['Mithun Ramesh', 'Divya Pillai', 'Suraj Venjaramoodu', 'Idavela Babu']"
11,Adutha Chodyam,Malayalam,-2019,UA,112 min,Drama            ,408,A.K.S. Nambiar,"['Sheikh Rasheed', 'Malavika']"
12,Savaari,Malayalam,-2018,U,104 min,Drama            ,5,Asok Nair,"['Dileep', 'Chemban Vinod Jose', 'Suraj Venjaramoodu']"
13,Sandesham,Malayalam,-1991,Not Rated,138 min,"Comedy, Drama            ","3,053",Sathyan Anthikad,"['Sreenivasan', 'Jayaram', 'Thilakan', 'Mathu']"
14,Prathi Poovankozhy,Malayalam,-2019,U,102 min,"Drama, Thriller            ",720,Roshan Andrews,"['Manju Warrier', 'Anusree', 'Roshan Andrews', 'Saiju Kurup']"
15,Kireedam,Malayalam,-1989,Not Rated,124 min,"Action, Drama            ","4,852",Sibi Malayil,"['Mohanlal', 'Thilakan', 'Kaviyoor Ponnamma', 'Parvathi']"
16,Pengalila,Malayalam,-2019,U,111 min,Drama            ,550,T.V. Chandran,"['Lal', 'Akshara Kishor', 'Iniya', 'Narain']"
17,Merku Thodarchi Malai,Malayalam,-2018,,122 min,Drama            ,"1,369",Leninbharati,"['Antony', 'Gayatri Krishnan', 'Abu Valayamkulam']"
18,Nadodikkattu,Malayalam,-1987,U,158 min,Comedy            ,"3,612",Sathyan Anthikad,"['Mohanlal', 'Sreenivasan', 'Thilakan', 'Shobana']"
19,Thaniyavartanam,Malayalam,-1987,Not Rated,119 min,Drama            ,"1,491",Sibi Malayil,"['Mammootty', 'Thilakan', 'Mukesh', 'Kaviyoor Ponnamma']"
20,Oru Vadakkan Veeragatha,Malayalam,-1989,U,168 min,"Action, Drama, History            ","3,916",T. Hariharan,"['Mammootty', 'Madhavi', 'Devan', 'Suresh Gopi']"
21,Sagara Sangamam,Malayalam,-1983,U,160 min,"Musical, Romance, Drama            ","2,510",K. Viswanath,"['Kamal Haasan', 'Jaya Prada', 'Sarath Babu', 'Sailaja S.P.']"
22,Devasuram,Malayalam,-1993,Not Rated,187 min,"Action, Drama, Thriller            ","4,235",I.V. Sasi,"['Mohanlal', 'Revathy', 'Nedumudi Venu', 'Innocent']"
23,Oru Sindoora Pottinte Ormaykku,Malayalam,-1987,Not Rated,124 min,"Action, Crime, Drama            ",9,Cochin Hanifa,"['Mammootty', 'Lalu Alex', 'Urvashi', 'Captain Raju']"
24,Manichitrathazhu,Malayalam,-1993,Not Rated,169 min,"Comedy, Horror, Musical            ","7,378",Fazil,"['Mohanlal', 'Shobana', 'Suresh Gopi', 'Vinaya Prakash']"
25,Sankarabharanam,Malayalam,-1980,Not Rated,143 min,"Drama, Musical, Romance            ","1,727",K. Viswanath,"['J.V. Somayajulu', 'Manju Bhargavi', 'Tulasi', 'Allu Ramalingaiah']"
26,Kumbalangi Nights,Malayalam,-2019,U,135 min,"Comedy, Drama, Romance            ","4,829",Madhu C. Narayanan,"['Shane Nigam', 'Soubin Shahir', 'Fahadh Faasil', 'Sreenath Bhasi']"
27,Kinavally,Malayalam,-2018,U,141 min,"Comedy, Horror, Mystery            ",386,Sugeeth,"['Hareesh Kanaran', 'Krrish Menon', 'Sowmya Menon', 'Surabhi Santhosh']"
28,Praana,Malayalam,-2019,UA,107 min,"Crime, Drama, Horror            ",771,V.K. Prakash,['Nithya Menon']
29,AA BB KK,Malayalam,-2018,U,121 min,Drama            ,239,Ramkumar Shedge,"['Sajid Ali', 'Tamannaah Bhatia', 'Bhakti Chavan', 'Arya Ghare']"
30,Dhamaka,Malayalam,-2020,UA,121 min,Comedy            ,480,Omar,"['Sabumon Abdusamad', 'Idavela Babu', 'Dharmajan Bolgatty', 'Nikki Galrani']"
31,Godfather,Malayalam,-1991,Not Rated,150 min,"Comedy, Drama, Romance            ","2,590",Lal,"['Siddique', 'N.N. Pillai', 'Mukesh', 'Kanaka']"
32,Spatikam,Malayalam,-1995,Not Rated,150 min,"Action, Drama            ","4,136",Bhadran,"['Mohanlal', 'Thilakan', 'Sphadikam George', 'Urvashi']"
33,In Harihar Nagar,Malayalam,-1990,Not Rated,133 min,"Comedy, Crime, Mystery            ","2,778",Lal,"['Siddique', 'Mukesh', 'Siddique', 'Jagadish']"
34,Kilukkam,Malayalam,-1991,,155 min,"Comedy, Family            ","2,937",Priyadarshan,"['Mohanlal', 'Jagathi Sreekumar', 'Revathy', 'Kollam Thulasi']"
35,Thoovanathumbikal,Malayalam,-1987,A,151 min,"Drama, Musical, Romance            ","3,164",P. Padmarajan,"['Mohanlal', 'Sumalatha', 'Parvathi', 'Asokan']"
